tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[0.009212579667485798, 0.009212578429852613, 0.01255726432033566]
0.010974987654930561,[0.009213006591932887, 0.009213005356507886, 0.012546425492501328]
0.012045035402587823,[0.009213463133335513, 0.009213461892700189, 0.012004033040551306]
0.013219411484660288,[0.009213955018856829, 0.009213953782546263, 0.012377640872353164]
0.014508287784959394,[0.009214478899780101, 0.00921447767839673, 0.012680273499786093]
0.015922827933410922,[0.009215035053915901, 0.009215033824219222, 0.012596699149477315]
0.01747528400007684,[0.009215628146810359, 0.009215626904901542, 0.012269985468042425]
0.019179102616724886,[0.009216252779262609, 0.00921625153522693, 0.01224567853538925]
0.02104904144512021,[0.009216908170585484, 0.009216906926470885, 0.01310175866621669]
0.023101297000831605,[0.009217591226201397, 0.009217589996437726, 0.012560614237595592]
0.025353644939701114,[0.009218297220112802, 0.009218295990580072, 0.012617917114035782]
0.027825594022071243,[0.009219019491018674, 0.009219018251009438, 0.012775331076435411]
0.030538555088334154,[0.009219749284433488, 0.009219748066813672, 0.013053133557226853]
0.033516026509388425,[0.00922047337362738, 0.009220472125447608, 0.01242161863897789]
0.03678379771828634,[0.009221177393834898, 0.009221176159329386, 0.012771563826201556]
0.040370172585965536,[0.009221840301978586, 0.00922183906445495, 0.012324189806956832]
0.044306214575838825,[0.009222435288928753, 0.009222434057090327, 0.012891131317591172]
0.04862601580065353,[0.009222929297550985, 0.00922292805739804, 0.012469482805743492]
0.0533669923120631,[0.009223280500832988, 0.009223279283301147, 0.01247415354398067]
0.05857020818056667,[0.009223436566819326, 0.009223435332365094, 0.012638325328957475]
0.06428073117284322,[0.009223332404603067, 0.00922333116920876, 0.012476772386842585]
0.07054802310718646,[0.00922288755618861, 0.00922288633389115, 0.012634615571364135]
0.0774263682681127,[0.00922200274200504, 0.00922200149128756, 0.012342373580277023]
0.08497534359086446,[0.009220556345132722, 0.009220555123535559, 0.0125149254122435]
0.093260334688322,[0.009218399464278207, 0.009218398225400147, 0.012550099795464871]
0.10235310218990264,[0.00921535053892058, 0.00921534930150897, 0.012370213866347988]
0.11233240329780277,[0.009211188899840633, 0.009211187679115955, 0.012647335939386906]
0.12328467394420665,[0.009205646973472544, 0.00920564573790983, 0.012335729765134532]
0.13530477745798075,[0.009198401202229303, 0.00919839997332767, 0.01229707311861072]
0.1484968262254465,[0.009189061250760923, 0.009189060020305192, 0.012689188129929843]
0.16297508346206444,[0.009177157201940662, 0.009177155970464751, 0.012106599904744789]
0.1788649529057435,[0.009162124229529943, 0.009162122991228972, 0.012891380208307145]
0.19630406500402714,[0.009143284466634418, 0.009143283262932948, 0.012739456240928404]
0.21544346900318845,[0.009119824954558832, 0.009119823746481175, 0.01218058980658787]
0.23644894126454083,[0.009090770769289363, 0.00909076957070072, 0.012431840958145774]
0.25950242113997374,[0.009054951911145599, 0.009054950710251494, 0.012197960469808311]
0.2848035868435802,[0.009010961933994205, 0.009010960758865124, 0.011973804914429549]
0.3125715849688237,[0.008957106219355191, 0.008957105046312981, 0.01235783820136628]
0.34304692863149194,[0.008891337679159061, 0.008891336492450105, 0.012257628473744408]
0.37649358067924693,[0.008811178992927014, 0.008811177824533126, 0.011930405352067146]
0.41320124001153385,[0.008713634184888316, 0.0087136330412792, 0.011960852093039345]
0.4534878508128585,[0.008595100565734912, 0.008595099428334817, 0.011956429834260289]
0.49770235643321115,[0.008451307192134236, 0.008451306055202217, 0.011567456365327614]
0.5462277217684343,[0.008277330126595423, 0.008277329006803598, 0.011428667777420277]
0.5994842503189411,[0.008067765771834772, 0.00806776467147962, 0.011191210657345678]
0.6579332246575682,[0.007817169632678981, 0.00781716854692509, 0.010452079517888362]
0.7220809018385468,[0.00752086099159588, 0.0075208599382666445, 0.010369214040187964]
0.7924828983539177,[0.007176107622965969, 0.007176106602251388, 0.009778313195704758]
0.8697490026177834,[0.00678349809792095, 0.006783497123746809, 0.009384647312328487]
0.9545484566618342,[0.006348012006141892, 0.006348011078485902, 0.008780217532119479]
1.0476157527896652,[0.0058791014563346344, 0.005879100587828546, 0.00822854903602509]
1.149756995397737,[0.005389346962648955, 0.005389346123622083, 0.0075400951421533136]
1.261856883066021,[0.00489213610489282, 0.00489213533268519, 0.006982387686287833]
1.384886371393873,[0.004399781266760623, 0.004399780547500387, 0.0064214203651811646]
1.5199110829529348,[0.0039231845366816545, 0.003923183868154681, 0.0055392662295620345]
1.6681005372000592,[0.0034720372375748316, 0.0034720366229362425, 0.005186722908785996]
1.8307382802953698,[0.003053239640920451, 0.003053239044958593, 0.004521967304678691]
2.0092330025650478,[0.002668325916447814, 0.0026683253652378387, 0.003925716514936383]
2.2051307399030455,[0.0023146352796125282, 0.0023146347573810163, 0.003378595929474172]
2.4201282647943834,[0.0019913793203888324, 0.0019913788304738423, 0.002769796068923791]
2.656087782946687,[0.001704313102328627, 0.001704312651103448, 0.002410035840455783]
2.9150530628251787,[0.0014635572055240779, 0.0014635567816552422, 0.002080380921881498]
3.1992671377973845,[0.0012776399445436073, 0.0012776395429542878, 0.0018165103271626853]
3.5111917342151346,[0.0011480816146234845, 0.0011480812236587528, 0.0015388892339467648]
3.8535285937105312,[0.0010660710959825622, 0.0010660707211920652, 0.001423425639468055]
4.229242874389499,[0.001017394151864723, 0.001017393791554954, 0.0013855627303711877]
4.641588833612782,[0.0009885930122411814, 0.0009885926523194148, 0.001287815672846542]
5.09413801481638,[0.0009692919546473659, 0.0009692915950553312, 0.0012522779720027437]
5.590810182512229,[0.00095365502578856, 0.000953654674943986, 0.0012427656711398308]
6.135907273413176,[0.0009388307845310202, 0.0009388304470892054, 0.001265460138277585]
