tau, beta, Energy Variance after Cyclic Protocol 
10.0,0.1,2.1708225568266932e-10
10.0,0.10476157527896648,2.4048094594429926e-10
10.0,0.10974987654930562,2.68448161336854e-10
10.0,0.11497569953977356,3.021752792615251e-10
10.0,0.12045035402587821,3.431893665869433e-10
10.0,0.12618568830660204,3.9345525181233736e-10
10.0,0.1321941148466029,4.55502416427102e-10
10.0,0.1384886371393873,5.325932655264321e-10
10.0,0.14508287784959398,6.289369471044294e-10
10.0,0.15199110829529336,7.499646919254533e-10
10.0,0.1592282793341092,9.026777703220752e-10
10.0,0.16681005372000587,1.0960868378086042e-09
10.0,0.17475284000076838,1.341766876195974e-09
10.0,0.18307382802953684,1.6545362080050799e-09
10.0,0.19179102616724888,2.0532935680096124e-09
10.0,0.20092330025650468,2.562031021205728e-09
10.0,0.21049041445120203,3.2110245614784857e-09
10.0,0.22051307399030456,4.038248603175903e-09
10.0,0.23101297000831597,5.09094901029995e-09
10.0,0.24201282647943823,6.427422987732365e-09
10.0,0.2535364493970112,8.118879054090433e-09
10.0,0.2656087782946686,1.0251330057282902e-08
10.0,0.2782559402207124,1.2927368447156935e-08
10.0,0.29150530628251764,1.6267601531980286e-08
10.0,0.30538555088334157,2.041154638834925e-08
10.0,0.3199267137797383,2.5517594043755466e-08
10.0,0.3351602650938842,3.176176379529141e-08
10.0,0.35111917342151316,3.933482707366909e-08
10.0,0.3678379771828633,4.8437406643364295e-08
10.0,0.38535285937105296,5.927272256452123e-08
10.0,0.40370172585965547,7.2036536091237e-08
10.0,0.42292428743894983,8.690403056592528e-08
10.0,0.44306214575838804,1.0401325729325627e-07
10.0,0.4641588833612779,1.234445353597279e-07
10.0,0.4862601580065353,1.4519541601673065e-07
10.0,0.509413801481638,1.6915047676832043e-07
10.0,0.533669923120631,1.950454426838655e-07
10.0,0.5590810182512224,2.2242617776137816e-07
10.0,0.5857020818056666,2.5060491318954704e-07
10.0,0.6135907273413173,2.7862109222334955e-07
10.0,0.6428073117284321,3.052224505969e-07
10.0,0.6734150657750821,3.288938545068967e-07
10.0,0.7054802310718643,3.4797445240047677e-07
10.0,0.7390722033525778,3.6090727966013385e-07
10.0,0.7742636826811271,3.6664893110124146e-07
10.0,0.8111308307896871,3.6522449311388345e-07
10.0,0.8497534359086443,3.583754359807158e-07
10.0,0.8902150854450386,3.5027977855977583e-07
10.0,0.9326033468832199,3.4847123807316833e-07
10.0,0.9770099572992252,3.6522211461677353e-07
10.0,1.0235310218990261,4.194541306482278e-07
10.0,1.0722672220103233,5.385303246253782e-07
10.0,1.1233240329780274,7.588110704231524e-07
10.0,1.1768119524349985,1.1251222766074092e-06
10.0,1.2328467394420661,1.69193460693667e-06
10.0,1.2915496650148839,2.528688105061655e-06
10.0,1.353047774579807,3.725409089354991e-06
10.0,1.4174741629268053,5.3920315276027325e-06
10.0,1.484968262254465,7.660684495710395e-06
10.0,1.5556761439304718,1.071953175708215e-05
10.0,1.6297508346206442,1.4871778782826854e-05
10.0,1.7073526474706906,2.0521827905938045e-05
10.0,1.788649529057435,2.799143487050535e-05
10.0,1.8738174228603839,3.727117862783205e-05
10.0,1.9630406500402708,4.8137165728533886e-05
10.0,2.0565123083486516,6.112423514427359e-05
