tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[0.0014369573138677395, 0.0014369572782601365, 2.5723875530947723e-5]
0.010974987654930561,[0.0014369611986091132, 0.0014369611630553158, 2.5728385841664247e-5]
0.012045035402587823,[0.0014369654557843405, 0.001436965420282559, 2.573268322400739e-5]
0.013219411484660288,[0.001436970110029637, 0.0014369700743667156, 2.5734636542364277e-5]
0.014508287784959394,[0.0014369751662842028, 0.0014369751306241834, 2.573671571697937e-5]
0.015922827933410922,[0.0014369806203354404, 0.0014369805846314746, 2.574038617222286e-5]
0.01747528400007684,[0.0014369865838375943, 0.001436986548283099, 2.5746334874953102e-5]
0.019179102616724886,[0.0014369930176290208, 0.0014369929820895284, 2.575038576196185e-5]
0.02104904144512021,[0.0014370000142093187, 0.0014369999785079433, 2.5759560598818165e-5]
0.023101297000831605,[0.0014370075827903988, 0.0014370075470650338, 2.576824029904526e-5]
0.025353644939701114,[0.001437015765269914, 0.001437015729677474, 2.5780952251387237e-5]
0.027825594022071243,[0.0014370245182570686, 0.0014370244827346832, 2.5786945931715312e-5]
0.030538555088334154,[0.001437034003760203, 0.0014370339679788781, 2.5803991932487422e-5]
0.033516026509388425,[0.001437044129865844, 0.0014370440942304543, 2.5813495607061767e-5]
0.03678379771828634,[0.0014370550020006, 0.0014370549664819798, 2.5835519352631348e-5]
0.040370172585965536,[0.001437066552847749, 0.0014370665172705273, 2.584113233765957e-5]
0.044306214575838825,[0.0014370788328995463, 0.0014370787973259818, 2.585490547154815e-5]
0.04862601580065353,[0.0014370918325021947, 0.0014370917966632195, 2.5855326131651398e-5]
0.0533669923120631,[0.0014371054984397248, 0.0014371054627184156, 2.585782393585739e-5]
0.05857020818056667,[0.0014371198062027427, 0.001437119770710785, 2.587505061403403e-5]
0.06428073117284322,[0.0014371346162740288, 0.001437134580707821, 2.588733705074671e-5]
0.07054802310718646,[0.0014371498349521116, 0.0014371497991928237, 2.5868743136553373e-5]
0.0774263682681127,[0.0014371653572853751, 0.0014371653217365387, 2.588499468496401e-5]
0.08497534359086446,[0.0014371808610788447, 0.001437180825777987, 2.590084203144181e-5]
0.093260334688322,[0.0014371961446076036, 0.0014371961089253535, 2.591095145480847e-5]
0.10235310218990264,[0.0014372108405908523, 0.0014372108045352173, 2.5885019132098206e-5]
0.11233240329780277,[0.0014372244430105137, 0.0014372244071514722, 2.586861041300172e-5]
0.12328467394420665,[0.0014372363060304123, 0.0014372362699378383, 2.584231372561603e-5]
0.13530477745798075,[0.0014372457611850158, 0.001437245725257001, 2.5791626369710508e-5]
0.1484968262254465,[0.0014372518444431314, 0.0014372518091516388, 2.5768532130922464e-5]
0.16297508346206444,[0.001437253489693475, 0.0014372534542176731, 2.5733167055149403e-5]
0.1788649529057435,[0.001437249352626226, 0.001437249317090293, 2.5642460560914048e-5]
0.19630406500402714,[0.0014372377050829652, 0.001437237669864631, 2.558013590606337e-5]
