tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[4.838886815662994e-5, 4.8388868321097836e-5, 3.4824526605704714e-8]
0.012067926406393288,[4.838874919981533e-5, 4.8388749364363135e-5, 3.4823386623605175e-8]
0.014563484775012436,[4.838860451315111e-5, 4.8388604677921434e-5, 3.482197842894143e-8]
0.017575106248547922,[4.8388428181417526e-5, 4.8388428345843866e-5, 3.4820229857083477e-8]
0.021209508879201904,[4.838821318788802e-5, 4.838821335254954e-5, 3.4818029301223703e-8]
0.025595479226995357,[4.8387950535755523e-5, 4.8387950700344366e-5, 3.481522553863668e-8]
0.030888435964774818,[4.838762966873623e-5, 4.838762983351561e-5, 3.481157818176631e-8]
0.0372759372031494,[4.83872357028879e-5, 4.83872358673234e-5, 3.480670771364144e-8]
0.04498432668969444,[4.8386752380968434e-5, 4.838675254599138e-5, 3.480001780448424e-8]
0.054286754393238594,[4.838615871765628e-5, 4.8386158882065254e-5, 3.4790507234504653e-8]
0.0655128556859551,[4.838542847911992e-5, 4.838542864349881e-5, 3.4776439107874865e-8]
0.07906043210907697,[4.838453153157546e-5, 4.838453169628753e-5, 3.475497357978704e-8]
0.09540954763499938,[4.8383431093428886e-5, 4.838343125830791e-5, 3.4721578108754e-8]
0.1151395399326447,[4.8382089164656045e-5, 4.838208932902281e-5, 3.466940475332977e-8]
0.13894954943731375,[4.8380468519536984e-5, 4.838046868401449e-5, 3.4588771666035634e-8]
0.16768329368110074,[4.837854162768695e-5, 4.837854179235847e-5, 3.4465707489485644e-8]
0.20235896477251566,[4.837631605641832e-5, 4.837631622167162e-5, 3.42716836506189e-8]
0.2442053094548651,[4.837386302170627e-5, 4.837386318750278e-5, 3.392388664554334e-8]
0.29470517025518095,[4.8371386828631466e-5, 4.837138699311547e-5, 3.319909275926618e-8]
0.35564803062231287,[4.836931240709874e-5, 4.8369312571234626e-5, 3.17239155960195e-8]
0.42919342601287763,[4.836838828679705e-5, 4.836838845171969e-5, 2.9412654493590244e-8]
0.517947467923121,[4.83696739922807e-5, 4.83696741566909e-5, 2.6878725634897305e-8]
0.6250551925273969,[4.837404369023561e-5, 4.837404385439538e-5, 2.3835794927003753e-8]
0.7543120063354615,[4.8380712362076934e-5, 4.838071252662269e-5, 1.957113945958057e-8]
0.9102981779915218,[4.8385459470554145e-5, 4.838545963502958e-5, 1.495151139391692e-8]
1.0985411419875584,[4.838240332484447e-5, 4.8382403489233065e-5, 1.0285464400571936e-8]
1.325711365590108,[4.837168397731889e-5, 4.837168414159138e-5, 5.820721785002428e-9]
1.5998587196060574,[4.836389439934951e-5, 4.836389456342416e-5, 2.6935177200516853e-9]
1.9306977288832496,[4.836654045267771e-5, 4.836654061719368e-5, 1.1664094765139115e-9]
2.329951810515372,[4.837035809622927e-5, 4.8370358261224255e-5, 6.781975065480887e-10]
2.811768697974228,[4.837149923740248e-5, 4.837149940219602e-5, 4.940869993029714e-10]
3.3932217718953264,[4.8369463327666954e-5, 4.8369463492042324e-5, 3.582714765430977e-10]
4.094915062380423,[4.8366002589644154e-5, 4.8366002753967956e-5, 2.5852032457546785e-10]
4.941713361323833,[4.83646365866409e-5, 4.836463675128655e-5, 1.471287035663303e-10]
5.963623316594643,[4.836613224968922e-5, 4.836613241416365e-5, 6.491673833950606e-11]
7.196856730011514,[4.836777408105144e-5, 4.83677742451748e-5, 2.4307349919308033e-11]
8.68511373751352,[4.8367174060810497e-5, 4.8367174225451164e-5, 4.400164529201733e-12]
10.481131341546853,[4.8366692897097084e-5, 4.836669306175345e-5, 6.001201389852967e-12]
12.648552168552959,[4.8367447952837726e-5, 4.836744811731614e-5, 7.486658501959765e-12]
15.264179671752318,[4.8366931235702155e-5, 4.836693140017266e-5, 6.222613022168685e-12]
18.420699693267146,[4.836710537551255e-5, 4.836710554035883e-5, 7.578738820558335e-12]
22.229964825261934,[4.836697119010185e-5, 4.836697135407731e-5, 1.3111863180986798e-12]
26.826957952797247,[4.836735734873723e-5, 4.836735751313671e-5, 3.0044749045642607e-12]
32.374575428176435,[4.836702425449519e-5, 4.83670244192253e-5, 1.630429004491603e-12]
39.06939937054613,[4.836727941525524e-5, 4.8367279579614125e-5, 5.4871647326426425e-12]
47.1486636345739,[4.836684623045529e-5, 4.836684639464592e-5, 5.050701584475311e-12]
56.89866029018293,[4.836683356662342e-5, 4.836683373039074e-5, 4.090937969031833e-12]
68.66488450042998,[4.8367173031267685e-5, 4.836717319505263e-5, 2.617487138380994e-12]
82.86427728546842,[4.836708024495734e-5, 4.836708040910454e-5, 7.834409858806341e-13]
99.9999999999999,[4.836900620577652e-5, 4.8369006369813216e-5, 4.85483244933596e-10]
