tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[0.001028491257446485, 0.0010284912505209303, 0.001613450603399736]
0.010974987654930561,[0.001028499945781628, 0.0010284999389029634, 0.0016134957191014025]
0.012045035402587823,[0.0010285087611692867, 0.0010285087542903004, 0.0016135441481370692]
0.013219411484660288,[0.0010285177778192867, 0.0010285177709531915, 0.001613595488194731]
0.014508287784959394,[0.0010285268398967365, 0.0010285268331440846, 0.0016136505189944862]
0.015922827933410922,[0.001028535884331391, 0.0010285358774924373, 0.0016137087233477469]
0.01747528400007684,[0.0010285445690015479, 0.0010285445621922126, 0.0016137703887222972]
0.019179102616724886,[0.0010285527002536737, 0.0010285526933649864, 0.0016138350926036486]
0.02104904144512021,[0.001028559623386967, 0.0010285596165466463, 0.001613902371219335]
0.023101297000831605,[0.0010285654067906796, 0.0010285653999026253, 0.0016139718223341338]
0.025353644939701114,[0.0010285690214334807, 0.001028569014461562, 0.0016140431539355133]
0.027825594022071243,[0.0010285698709147967, 0.0010285698639955821, 0.001614115019287926]
0.030538555088334154,[0.0010285673300310862, 0.001028567323164488, 0.001614186671328137]
0.033516026509388425,[0.0010285599110720434, 0.0010285599041451544, 0.0016142560866499827]
0.03678379771828634,[0.001028546263790034, 0.0010285462569393368, 0.0016143214319139921]
0.040370172585965536,[0.0010285250750728797, 0.0010285250681521289, 0.0016143802606146125]
0.044306214575838825,[0.0010284937960605553, 0.0010284937891628819, 0.001614428903003514]
0.04862601580065353,[0.0010284500551944237, 0.0010284500481955098, 0.001614463298932951]
0.0533669923120631,[0.0010283906248920059, 0.00102839061792738, 0.0016144780071479382]
0.05857020818056667,[0.0010283118315820676, 0.001028311824774914, 0.0016144662099019144]
0.06428073117284322,[0.001028208651784896, 0.0010282086450695773, 0.0016144199579197261]
0.07054802310718646,[0.0010280754621925271, 0.0010280754555662096, 0.0016143282041396502]
0.0774263682681127,[0.0010279050224746207, 0.0010279050158300493, 0.001614177957723364]
0.08497534359086446,[0.0010276892339297465, 0.0010276892273629703, 0.001613953069015322]
0.093260334688322,[0.0010274170065068232, 0.001027416999836923, 0.001613632216397154]
0.10235310218990264,[0.0010270759505909212, 0.001027075943903774, 0.00161318969843208]
0.11233240329780277,[0.0010266503297797823, 0.0010266503232839335, 0.0016125922791058076]
0.12328467394420665,[0.0010261215684723229, 0.0010261215620517067, 0.0016117988089442664]
0.13530477745798075,[0.0010254663603722763, 0.0010254663539761924, 0.0016107566860773216]
0.1484968262254465,[0.0010246576110833551, 0.0010246576048118933, 0.0016094002336560097]
0.16297508346206444,[0.0010236611175210662, 0.0010236611111020355, 0.0016076452817816197]
0.1788649529057435,[0.0010224364503236376, 0.0010224364442254865, 0.0016053893042803171]
0.19630406500402714,[0.001020933888131286, 0.0010209338822516898, 0.0016025034935160975]
