tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[4.8360717593126486e-5, 4.8360717758049174e-5, 7.338305900612757e-10]
0.012067926406393288,[4.8360729354719115e-5, 4.8360729519355824e-5, 7.339065426799768e-10]
0.014563484775012436,[4.836074365565362e-5, 4.8360743820355384e-5, 7.340088431298832e-10]
0.017575106248547922,[4.836076073834516e-5, 4.836076090281904e-5, 7.341456267121746e-10]
0.021209508879201904,[4.836078149260923e-5, 4.836078165719313e-5, 7.343317744699547e-10]
0.025595479226995357,[4.8360806354135106e-5, 4.836080651877132e-5, 7.345852491216966e-10]
0.030888435964774818,[4.836083637151278e-5, 4.8360836536318384e-5, 7.349333879063596e-10]
0.0372759372031494,[4.836087266237971e-5, 4.836087282700032e-5, 7.354102735251804e-10]
0.04498432668969444,[4.8360915943072024e-5, 4.836091610764035e-5, 7.360669375972461e-10]
0.054286754393238594,[4.836096827444623e-5, 4.836096843953487e-5, 7.369671253869856e-10]
0.0655128556859551,[4.836103041017487e-5, 4.836103057475017e-5, 7.381900690565633e-10]
0.07906043210907697,[4.836110446847516e-5, 4.8361104632944134e-5, 7.398288126139073e-10]
0.09540954763499938,[4.836119183926767e-5, 4.8361192003735475e-5, 7.419639596704774e-10]
0.1151395399326447,[4.8361293278439816e-5, 4.8361293443126074e-5, 7.446247468234216e-10]
0.13894954943731375,[4.8361410062660985e-5, 4.836141022748556e-5, 7.47697798605221e-10]
0.16768329368110074,[4.836154204388838e-5, 4.836154220885713e-5, 7.508130885609441e-10]
0.20235896477251566,[4.8361688705002356e-5, 4.836168886994308e-5, 7.533228913497926e-10]
0.2442053094548651,[4.836185028808875e-5, 4.836185045333791e-5, 7.547864846435457e-10]
0.29470517025518095,[4.836203260187043e-5, 4.836203276681394e-5, 7.564570470326973e-10]
0.35564803062231287,[4.8362259505756045e-5, 4.8362259669625695e-5, 7.628622729925359e-10]
0.42919342601287763,[4.836258654647227e-5, 4.8362586711194685e-5, 7.790718998792728e-10]
0.517947467923121,[4.8363113086481644e-5, 4.8363113251166845e-5, 8.052397589366562e-10]
0.6250551925273969,[4.836394168353273e-5, 4.836394184776775e-5, 8.388766912060303e-10]
0.7543120063354615,[4.836502221375473e-5, 4.8365022378166217e-5, 8.699011585718893e-10]
0.9102981779915218,[4.836598129397984e-5, 4.8365981458335856e-5, 9.084586756378773e-10]
1.0985411419875584,[4.836653995786594e-5, 4.836654012227792e-5, 9.452253885672016e-10]
1.325711365590108,[4.8367406119259105e-5, 4.836740628342225e-5, 9.09387135142563e-10]
1.5998587196060574,[4.836821959715932e-5, 4.8368219761409884e-5, 8.288532889529378e-10]
1.9306977288832496,[4.836800308156004e-5, 4.836800324586962e-5, 6.573667652673347e-10]
2.329951810515372,[4.836986955683956e-5, 4.836986972183517e-5, 4.984352233961123e-10]
2.811768697974228,[4.8370088971786575e-5, 4.837008913668901e-5, 3.6835508650503975e-10]
3.3932217718953264,[4.836879474175943e-5, 4.836879490641044e-5, 2.7710109884550236e-10]
4.094915062380423,[4.836750924203266e-5, 4.836750940651858e-5, 2.6636185854153475e-10]
4.941713361323833,[4.8365903496471955e-5, 4.8365903661417365e-5, 2.513509761686553e-10]
5.963623316594643,[4.836562548537735e-5, 4.836562565003124e-5, 1.618935558996098e-10]
7.196856730011514,[4.836782054063724e-5, 4.836782070512135e-5, 5.94483608284213e-11]
8.68511373751352,[4.836670381157992e-5, 4.836670397590618e-5, 3.09483932498783e-11]
10.481131341546853,[4.8366419852788e-5, 4.836642001733284e-5, 2.958281412615827e-11]
12.648552168552959,[4.83672524682356e-5, 4.836725263206946e-5, 4.478478598806813e-11]
15.264179671752318,[4.836697637972968e-5, 4.836697654404241e-5, 1.4210043851953008e-10]
18.420699693267146,[4.8367622177886705e-5, 4.8367622342576215e-5, 3.849259113814222e-11]
22.229964825261934,[4.836675386697158e-5, 4.836675403134198e-5, 7.239234614340527e-11]
26.826957952797247,[4.836719700962431e-5, 4.8367197174333684e-5, 5.228616557868933e-11]
32.374575428176435,[4.836693023815973e-5, 4.8366930402812056e-5, 7.857301969362303e-11]
39.06939937054613,[4.8367791529511354e-5, 4.836779169422541e-5, 8.307528788221542e-11]
47.1486636345739,[4.836646835224102e-5, 4.836646851637957e-5, 5.13570412207681e-11]
56.89866029018293,[4.8367124898736034e-5, 4.836712506274668e-5, 8.67298011848826e-12]
68.66488450042998,[4.836713634248927e-5, 4.836713650631356e-5, 3.8118742898176495e-11]
82.86427728546842,[4.836771996582606e-5, 4.836772013013801e-5, 2.7075240468697183e-11]
99.9999999999999,[4.8368473197358015e-5, 4.8368473360975595e-5, 5.487066628684364e-10]
