tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[4.8360270052939684e-5, 4.8360270217618895e-5, 9.138762035045731e-10]
0.012067926406393288,[4.836027455333549e-5, 4.836027471824671e-5, 9.136945766700933e-10]
0.014563484775012436,[4.8360280209744233e-5, 4.836028037390489e-5, 9.134722558552749e-10]
0.017575106248547922,[4.836028700418191e-5, 4.836028716877788e-5, 9.132001525556178e-10]
0.021209508879201904,[4.836029551379145e-5, 4.836029567886599e-5, 9.128671239681358e-10]
0.025595479226995357,[4.8360306052425635e-5, 4.836030621726531e-5, 9.124590749356961e-10]
0.030888435964774818,[4.8360319233813176e-5, 4.83603193983667e-5, 9.119605065242863e-10]
0.0372759372031494,[4.836033559734957e-5, 4.8360335761591996e-5, 9.113517754953083e-10]
0.04498432668969444,[4.8360356245515785e-5, 4.8360356410278804e-5, 9.106157147878076e-10]
0.054286754393238594,[4.836038254389349e-5, 4.836038270813935e-5, 9.09740552920302e-10]
0.0655128556859551,[4.836041621517274e-5, 4.83604163791774e-5, 9.087305219484854e-10]
0.07906043210907697,[4.836045986984641e-5, 4.8360460034166906e-5, 9.076327609480657e-10]
0.09540954763499938,[4.83605171759203e-5, 4.836051734044408e-5, 9.065641937898428e-10]
0.1151395399326447,[4.8360593249929865e-5, 4.836059341405631e-5, 9.05748901321489e-10]
0.13894954943731375,[4.836069627872122e-5, 4.836069644348989e-5, 9.054792604508071e-10]
0.16768329368110074,[4.836083517790484e-5, 4.836083534268929e-5, 9.058870172800645e-10]
0.20235896477251566,[4.8361024585684386e-5, 4.836102475044792e-5, 9.063250997756151e-10]
0.2442053094548651,[4.836128305560865e-5, 4.836128322043617e-5, 9.046357501929645e-10]
0.29470517025518095,[4.836163186352523e-5, 4.836163202803279e-5, 8.978134744669331e-10]
0.35564803062231287,[4.836209286399162e-5, 4.836209302839746e-5, 8.853108769107837e-10]
0.42919342601287763,[4.8362681696329935e-5, 4.83626818607269e-5, 8.695268567856551e-10]
0.517947467923121,[4.836340180843053e-5, 4.836340197299575e-5, 8.487975478078749e-10]
0.6250551925273969,[4.836424624864745e-5, 4.8364246412708366e-5, 8.182024748187749e-10]
0.7543120063354615,[4.836519246472034e-5, 4.836519262861955e-5, 7.826404860983338e-10]
0.9102981779915218,[4.836613400140341e-5, 4.8366134165416025e-5, 7.574789690264046e-10]
1.0985411419875584,[4.83667476059459e-5, 4.8366747770382985e-5, 7.307083806375814e-10]
1.325711365590108,[4.8366797352835644e-5, 4.8366797516621106e-5, 6.930515896313098e-10]
1.5998587196060574,[4.8366942141123354e-5, 4.8366942305289594e-5, 6.376097212134476e-10]
1.9306977288832496,[4.836819147835888e-5, 4.836819164256507e-5, 5.870969441734531e-10]
2.329951810515372,[4.8370185627468494e-5, 4.837018579265138e-5, 5.274492308566299e-10]
2.811768697974228,[4.8370878536557325e-5, 4.837087870117788e-5, 4.1395349021837717e-10]
3.3932217718953264,[4.836898642844056e-5, 4.836898659322032e-5, 3.131126637890625e-10]
4.094915062380423,[4.836603245727061e-5, 4.8366032621437036e-5, 2.4850043203663507e-10]
4.941713361323833,[4.83651772229015e-5, 4.8365177387764466e-5, 1.3096276471143555e-10]
5.963623316594643,[4.83659963963798e-5, 4.8365996560900616e-5, 5.962057817201409e-11]
7.196856730011514,[4.836799298289826e-5, 4.836799314695618e-5, 3.5968031895210926e-11]
8.68511373751352,[4.836659761833052e-5, 4.8366597782870687e-5, 3.1257676976601736e-11]
10.481131341546853,[4.836686803577607e-5, 4.8366868200304134e-5, 1.7878027665308125e-11]
12.648552168552959,[4.836771636470421e-5, 4.836771652872151e-5, 1.4676880700314966e-11]
15.264179671752318,[4.836681887130399e-5, 4.8366819035826855e-5, 2.8772908836675318e-11]
18.420699693267146,[4.83670857428769e-5, 4.836708590766467e-5, 6.997334241205631e-12]
22.229964825261934,[4.836694147539485e-5, 4.836694163951143e-5, 1.2926473886324508e-11]
26.826957952797247,[4.8367315543544384e-5, 4.836731570781168e-5, 1.2797753188023303e-11]
32.374575428176435,[4.8367061085608034e-5, 4.836706125057875e-5, 1.5530727953638708e-11]
39.06939937054613,[4.836783255209824e-5, 4.836783271619367e-5, 2.593168912188706e-11]
47.1486636345739,[4.836682590891144e-5, 4.836682607304976e-5, 2.007655979604546e-11]
56.89866029018293,[4.836675920004453e-5, 4.8366759364197015e-5, 8.7590515169187e-12]
68.66488450042998,[4.836743129065702e-5, 4.8367431454567365e-5, 3.156701463894962e-11]
82.86427728546842,[4.8366954379892956e-5, 4.836695454345689e-5, 5.665003109532311e-12]
99.9999999999999,[4.836869663620354e-5, 4.836869680081234e-5, 4.630936858745745e-10]
